collected_at,city,keyword,filename,event_count,status
2026-07-12T03:47:09,Barcelona,jazz,2,,0,failed
2026-07-12T03:47:09,Barcelona,rock,0,,0,failed
2026-07-12T03:47:09,Barcelona,rock,1,,0,failed
2026-07-12T03:47:09,Barcelona,rock,2,,0,failed
2026-07-12T03:47:09,Barcelona,classical,0,,0,failed
2026-07-12T03:47:09,Barcelona,classical,1,,0,failed
2026-07-12T03:47:09,Barcelona,classical,2,,0,failed
2026-07-12T03:47:09,Barcelona,opera,0,,0,failed
2026-07-12T03:47:09,Barcelona,opera,1,,0,failed
2026-07-12T03:47:09,Barcelona,opera,2,,0,failed
2026-07-12T03:47:09,Barcelona,museum,0,,0,failed
2026-07-12T03:47:09,Barcelona,museum,1,,0,failed
2026-07-12T03:47:09,Barcelona,museum,2,,0,failed
2026-07-12T03:47:09,Barcelona,exhibition,0,,0,failed
2026-07-12T03:47:09,Barcelona,exhibition,1,,0,failed
2026-07-12T03:47:09,Barcelona,exhibition,2,,0,failed
2026-07-12T03:47:09,Barcelona,film festival,0,,0,failed
2026-07-12T03:47:09,Barcelona,film festival,1,,0,failed
2026-07-12T03:47:09,Barcelona,film festival,2,,0,failed
2026-07-12T03:47:09,Barcelona,comedy,0,,0,failed
2026-07-12T03:47:09,Barcelona,comedy,1,,0,failed
2026-07-12T03:47:09,Barcelona,comedy,2,,0,failed
2026-07-12T03:47:09,Barcelona,theatre,0,,0,failed
2026-07-12T03:47:09,Barcelona,theatre,1,,0,failed
2026-07-12T03:47:09,Barcelona,theatre,2,,0,failed
2026-07-12T03:48:55,Berlin,jazz,0,20260712T034855_berlin_jazz_page0.json,9,success
2026-07-12T03:48:57,Berlin,jazz,1,20260712T034857_berlin_jazz_page1.json,0,success
2026-07-12T03:48:58,Berlin,jazz,2,20260712T034858_berlin_jazz_page2.json,0,success
2026-07-12T03:49:00,Berlin,rock,0,20260712T034900_berlin_rock_page0.json,187,success
2026-07-12T03:49:01,Berlin,rock,1,20260712T034901_berlin_rock_page1.json,0,success
2026-07-12T03:49:03,Berlin,rock,2,20260712T034903_berlin_rock_page2.json,0,success
2026-07-12T03:49:05,Berlin,classical,0,20260712T034905_berlin_classical_page0.json,32,success
2026-07-12T03:49:06,Berlin,classical,1,20260712T034906_berlin_classical_page1.json,0,success
2026-07-12T03:49:07,Berlin,classical,2,20260712T034907_berlin_classical_page2.json,0,success
2026-07-12T03:49:08,Berlin,opera,0,20260712T034908_berlin_opera_page0.json,1,success
2026-07-12T03:49:10,Berlin,opera,1,20260712T034910_berlin_opera_page1.json,0,success
2026-07-12T03:49:11,Berlin,opera,2,20260712T034911_berlin_opera_page2.json,0,success
2026-07-12T03:49:12,Berlin,museum,0,20260712T034912_berlin_museum_page0.json,0,success
2026-07-12T03:49:13,Berlin,museum,1,20260712T034913_berlin_museum_page1.json,0,success
2026-07-12T03:49:14,Berlin,museum,2,20260712T034914_berlin_museum_page2.json,0,success
2026-07-12T03:49:15,Berlin,exhibition,0,20260712T034915_berlin_exhibition_page0.json,0,success
2026-07-12T03:49:16,Berlin,exhibition,1,20260712T034916_berlin_exhibition_page1.json,0,success
2026-07-12T03:49:18,Berlin,exhibition,2,20260712T034918_berlin_exhibition_page2.json,0,success
2026-07-12T03:49:19,Berlin,film festival,0,20260712T034919_berlin_film_festival_page0.json,0,success
2026-07-12T03:49:20,Berlin,film festival,1,20260712T034920_berlin_film_festival_page1.json,0,success
2026-07-12T03:49:22,Berlin,film festival,2,20260712T034922_berlin_film_festival_page2.json,0,success
2026-07-12T03:49:23,Berlin,comedy,0,20260712T034923_berlin_comedy_page0.json,69,success
2026-07-12T03:49:24,Berlin,comedy,1,20260712T034924_berlin_comedy_page1.json,0,success
2026-07-12T03:49:26,Berlin,comedy,2,20260712T034926_berlin_comedy_page2.json,0,success
2026-07-12T03:49:28,Berlin,theatre,0,20260712T034928_berlin_theatre_page0.json,200,success
2026-07-12T03:49:30,Berlin,theatre,1,20260712T034930_berlin_theatre_page1.json,200,success
2026-07-12T03:49:31,Berlin,theatre,2,20260712T034931_berlin_theatre_page2.json,58,success
2026-07-12T03:49:32,Amsterdam,jazz,0,20260712T034932_amsterdam_jazz_page0.json,7,success
2026-07-12T03:49:34,Amsterdam,jazz,1,20260712T034934_amsterdam_jazz_page1.json,0,success
2026-07-12T03:49:35,Amsterdam,jazz,2,20260712T034935_amsterdam_jazz_page2.json,0,success
2026-07-12T03:49:37,Amsterdam,rock,0,20260712T034937_amsterdam_rock_page0.json,200,success
2026-07-12T03:49:39,Amsterdam,rock,1,20260712T034939_amsterdam_rock_page1.json,103,success
2026-07-12T03:49:40,Amsterdam,rock,2,20260712T034940_amsterdam_rock_page2.json,0,success
2026-07-12T03:49:41,Amsterdam,classical,0,20260712T034941_amsterdam_classical_page0.json,10,success
2026-07-12T03:49:43,Amsterdam,classical,1,20260712T034943_amsterdam_classical_page1.json,0,success
2026-07-12T03:49:44,Amsterdam,classical,2,20260712T034944_amsterdam_classical_page2.json,0,success
2026-07-12T03:49:45,Amsterdam,opera,0,20260712T034945_amsterdam_opera_page0.json,0,success
2026-07-12T03:49:46,Amsterdam,opera,1,20260712T034946_amsterdam_opera_page1.json,0,success
2026-07-12T03:49:48,Amsterdam,opera,2,20260712T034948_amsterdam_opera_page2.json,0,success
2026-07-12T03:49:49,Amsterdam,museum,0,20260712T034949_amsterdam_museum_page0.json,0,success
2026-07-12T03:49:50,Amsterdam,museum,1,20260712T034950_amsterdam_museum_page1.json,0,success
2026-07-12T03:49:51,Amsterdam,museum,2,20260712T034951_amsterdam_museum_page2.json,0,success
2026-07-12T03:49:52,Amsterdam,exhibition,0,20260712T034952_amsterdam_exhibition_page0.json,0,success
2026-07-12T03:49:53,Amsterdam,exhibition,1,20260712T034953_amsterdam_exhibition_page1.json,0,success
2026-07-12T03:49:55,Amsterdam,exhibition,2,20260712T034955_amsterdam_exhibition_page2.json,0,success
2026-07-12T03:49:56,Amsterdam,film festival,0,20260712T034956_amsterdam_film_festival_page0.json,0,success
2026-07-12T03:49:57,Amsterdam,film festival,1,20260712T034957_amsterdam_film_festival_page1.json,0,success
2026-07-12T03:49:59,Amsterdam,film festival,2,20260712T034959_amsterdam_film_festival_page2.json,0,success
2026-07-12T03:50:00,Amsterdam,comedy,0,20260712T035000_amsterdam_comedy_page0.json,50,success
2026-07-12T03:50:01,Amsterdam,comedy,1,20260712T035001_amsterdam_comedy_page1.json,0,success
2026-07-12T03:50:02,Amsterdam,comedy,2,20260712T035002_amsterdam_comedy_page2.json,0,success
2026-07-12T03:50:08,Amsterdam,theatre,0,20260712T035008_amsterdam_theatre_page0.json,85,success
2026-07-12T03:50:09,Amsterdam,theatre,1,20260712T035009_amsterdam_theatre_page1.json,0,success
2026-07-12T03:50:10,Amsterdam,theatre,2,20260712T035010_amsterdam_theatre_page2.json,0,success
2026-07-12T03:50:12,Paris,jazz,0,20260712T035012_paris_jazz_page0.json,0,success
2026-07-12T03:50:13,Paris,jazz,1,20260712T035013_paris_jazz_page1.json,0,success
2026-07-12T03:50:14,Paris,jazz,2,20260712T035014_paris_jazz_page2.json,0,success
2026-07-12T03:50:15,Paris,rock,0,20260712T035015_paris_rock_page0.json,0,success
2026-07-12T03:50:16,Paris,rock,1,20260712T035016_paris_rock_page1.json,0,success
2026-07-12T03:50:18,Paris,rock,2,20260712T035018_paris_rock_page2.json,0,success
2026-07-12T03:50:19,Paris,classical,0,20260712T035019_paris_classical_page0.json,0,success
2026-07-12T03:50:20,Paris,classical,1,20260712T035020_paris_classical_page1.json,0,success
2026-07-12T03:50:21,Paris,classical,2,20260712T035021_paris_classical_page2.json,0,success
2026-07-12T03:50:22,Paris,opera,0,20260712T035022_paris_opera_page0.json,0,success
2026-07-12T03:50:24,Paris,opera,1,20260712T035024_paris_opera_page1.json,0,success
2026-07-12T03:50:25,Paris,opera,2,20260712T035025_paris_opera_page2.json,0,success
2026-07-12T03:50:26,Paris,museum,0,20260712T035026_paris_museum_page0.json,0,success
2026-07-12T03:50:27,Paris,museum,1,20260712T035027_paris_museum_page1.json,0,success
2026-07-12T03:50:28,Paris,museum,2,20260712T035028_paris_museum_page2.json,0,success
2026-07-12T03:50:29,Paris,exhibition,0,20260712T035029_paris_exhibition_page0.json,0,success
2026-07-12T03:50:30,Paris,exhibition,1,20260712T035030_paris_exhibition_page1.json,0,success
2026-07-12T03:50:32,Paris,exhibition,2,20260712T035032_paris_exhibition_page2.json,0,success
2026-07-12T03:50:33,Paris,film festival,0,20260712T035033_paris_film_festival_page0.json,0,success
2026-07-12T03:50:34,Paris,film festival,1,20260712T035034_paris_film_festival_page1.json,0,success
2026-07-12T03:50:35,Paris,film festival,2,20260712T035035_paris_film_festival_page2.json,0,success
2026-07-12T03:50:36,Paris,comedy,0,20260712T035036_paris_comedy_page0.json,0,success
2026-07-12T03:50:37,Paris,comedy,1,20260712T035037_paris_comedy_page1.json,0,success
2026-07-12T03:50:39,Paris,comedy,2,20260712T035039_paris_comedy_page2.json,0,success
2026-07-12T03:50:40,Paris,theatre,0,20260712T035040_paris_theatre_page0.json,0,success
2026-07-12T03:50:41,Paris,theatre,1,20260712T035041_paris_theatre_page1.json,0,success
2026-07-12T03:50:42,Paris,theatre,2,20260712T035042_paris_theatre_page2.json,0,success
2026-07-12T03:50:44,London,jazz,0,20260712T035044_london_jazz_page0.json,200,success
2026-07-12T03:50:46,London,jazz,1,20260712T035046_london_jazz_page1.json,200,success
2026-07-12T03:50:48,London,jazz,2,20260712T035048_london_jazz_page2.json,108,success
2026-07-12T03:50:50,London,rock,0,20260712T035050_london_rock_page0.json,200,success
2026-07-12T03:50:52,London,rock,1,20260712T035052_london_rock_page1.json,200,success
2026-07-12T03:50:55,London,rock,2,20260712T035054_london_rock_page2.json,200,success
2026-07-12T03:50:56,London,classical,0,20260712T035056_london_classical_page0.json,23,success
2026-07-12T03:50:57,London,classical,1,20260712T035057_london_classical_page1.json,0,success
2026-07-12T03:50:58,London,classical,2,20260712T035058_london_classical_page2.json,0,success
